Codebase,Feature,Cluster,CLIP,CRIP,CROP,CWOP,CIP,COP,CPIF,CIOF,Orchestrator
Acme-Supermarket-maven,StorageAdministratorController.create,1,0.000000,1.000000,1.000000,0.000000,0.250000,0.222222,0.000000,0.857143,0
Acme-Supermarket-maven,StorageAdministratorController.create,0,0.000000,1.000000,1.000000,0.000000,0.250000,0.333333,0.000000,1.285714,1
Acme-Supermarket-maven,OrderConsumerController.save,2,0.800000,0.200000,0.181818,0.818182,0.192308,0.169231,1.402731,0.894861,0
Acme-Supermarket-maven,OrderConsumerController.save,4,0.031250,0.968750,0.959184,0.040816,0.307692,0.376923,0.824884,1.245687,0
Acme-Supermarket-maven,OrderConsumerController.save,0,0.000000,1.000000,1.000000,0.000000,0.269231,0.223077,0.973768,0.842564,1
Acme-Supermarket-maven,OrderConsumerController.save,1,0.000000,1.000000,1.000000,0.000000,0.230769,0.230769,0.798617,1.016888,0
Acme-Supermarket-maven,StorageAdministratorController.save,1,0.200000,0.800000,0.857143,0.142857,0.294118,0.259259,1.184211,0.880240,0
Acme-Supermarket-maven,StorageAdministratorController.save,0,0.000000,1.000000,1.000000,0.000000,0.294118,0.333333,1.184211,1.131737,1
Acme-Supermarket-maven,StorageAdministratorController.save,7,0.428571,0.571429,0.636364,0.363636,0.411765,0.407407,0.631579,0.988024,0
Acme-Supermarket-maven,OrderItemClerkController.save,2,0.090909,0.909091,0.926829,0.073171,0.392857,0.506173,0.591304,1.323258,0
Acme-Supermarket-maven,OrderItemClerkController.save,0,0.000000,1.000000,1.000000,0.000000,0.321429,0.234568,0.774704,0.749488,1
Acme-Supermarket-maven,OrderItemClerkController.save,1,0.111111,0.888889,0.888889,0.111111,0.160714,0.111111,2.069565,0.710041,0
Acme-Supermarket-maven,OrderItemClerkController.save,7,0.428571,0.571429,0.666667,0.333333,0.125000,0.148148,0.564427,1.217213,0
Acme-Supermarket-maven,OrderConsumerController.create,2,1.000000,0.000000,0.090909,0.909091,0.183673,0.171875,2.029328,0.985188,0
Acme-Supermarket-maven,OrderConsumerController.create,1,0.000000,1.000000,1.000000,0.000000,0.244898,0.234375,0.983917,1.007578,1
Acme-Supermarket-maven,OrderConsumerController.create,6,0.000000,1.000000,1.000000,0.000000,0.020408,0.015625,0.000000,0.806063,0
Acme-Supermarket-maven,OrderConsumerController.create,0,0.000000,1.000000,1.000000,0.000000,0.265306,0.250000,0.737938,0.992077,0
Acme-Supermarket-maven,OrderConsumerController.create,4,0.071429,0.928571,0.952381,0.047619,0.285714,0.328125,1.248817,1.209094,0
Acme-Taxi-maven,CarDriverController.select,0,0.000000,1.000000,1.000000,0.000000,0.285714,0.250000,1.000000,0.900000,1
Acme-Taxi-maven,CarDriverController.select,2,0.333333,0.666667,0.750000,0.250000,0.428571,0.500000,1.000000,1.200000,0
Acme-Taxi-maven,CarDriverController.select,4,0.500000,0.500000,0.500000,0.500000,0.285714,0.250000,1.000000,0.900000,0
Acme-Taxi-maven,CommentAdminController.delete,1,0.250000,0.750000,0.888889,0.111111,0.500000,0.600000,1.000000,1.372881,0
Acme-Taxi-maven,CommentAdminController.delete,0,0.000000,1.000000,1.000000,0.000000,0.375000,0.333333,2.000000,1.016949,0
Acme-Taxi-maven,CommentAdminController.delete,3,0.000000,1.000000,1.000000,0.000000,0.125000,0.066667,0.000000,0.610169,1
Acme-Taxi-maven,RepairShopMechanicController.create,0,0.000000,1.000000,1.000000,0.000000,0.400000,0.333333,1.500000,0.857143,1
Acme-Taxi-maven,RepairShopMechanicController.create,4,0.500000,0.500000,0.333333,0.666667,0.400000,0.500000,1.500000,1.285714,0
Acme-Taxi-maven,RepairShopMechanicController.create,1,1.000000,0.000000,0.000000,1.000000,0.200000,0.166667,0.000000,0.857143,0
Acme-Taxi-maven,RequestUserController.delete,2,0.333333,0.666667,0.750000,0.250000,0.375000,0.333333,1.500000,0.923077,1
Acme-Taxi-maven,RequestUserController.delete,0,0.000000,1.000000,1.000000,0.000000,0.375000,0.500000,0.900000,1.384615,0
Acme-Taxi-maven,RequestUserController.delete,1,0.000000,1.000000,1.000000,0.000000,0.250000,0.166667,0.600000,0.692308,0
Acme-Taxi-maven,CarDriverController.removeShop,0,0.000000,1.000000,1.000000,0.000000,0.454545,0.428571,1.500000,1.000000,1
Acme-Taxi-maven,CarDriverController.removeShop,2,0.200000,0.800000,0.857143,0.142857,0.454545,0.500000,1.500000,1.166667,0
Acme-Taxi-maven,CarDriverController.removeShop,4,1.000000,0.000000,0.000000,1.000000,0.090909,0.071429,0.000000,0.833333,0
Acme-Taxi-maven,RequestAdminController.delete,2,0.333333,0.666667,0.750000,0.250000,0.375000,0.333333,1.500000,0.923077,0
Acme-Taxi-maven,RequestAdminController.delete,0,0.000000,1.000000,1.000000,0.000000,0.375000,0.500000,0.900000,1.384615,0
Acme-Taxi-maven,RequestAdminController.delete,1,0.000000,1.000000,1.000000,0.000000,0.250000,0.166667,0.600000,0.692308,1
Acme-Taxi-maven,ReservationUserController.create,0,0.000000,1.000000,1.000000,0.000000,0.333333,0.294118,0.833333,0.882353,1
Acme-Taxi-maven,ReservationUserController.create,1,0.250000,0.750000,0.750000,0.250000,0.333333,0.235294,1.000000,0.705882,0
Acme-Taxi-maven,ReservationUserController.create,4,0.500000,0.500000,0.625000,0.375000,0.333333,0.470588,1.166667,1.411765,0
